X,D,Deg
4.08,-1.90449,180
4.32,-1.77243,180
4.56,-1.60493,180
4.8,-1.39325,180
5.04,-1.19401,180
5.28,-1.0371,180
5.52,-0.958066,180
5.76,-1.00314,180
6,-1.06694,180
6.24,-1.09142,180
6.48,-1.07573,180
6.72,-1.05626,180
6.96,-1.03621,180
7.2,-0.98891,180
7.44,-0.941208,180
7.68,-0.874849,180
7.92,-0.804319,180
8.16,-0.751021,180
8.4,-0.734232,180
8.64,-0.717443,180
8.88,-0.716587,180
9.12,-0.735524,180
9.36,-0.754462,180
9.6,-0.768548,180
9.84,-0.751809,180
10.08,-0.73507,180
10.32,-0.718331,180
10.56,-0.69651,180
10.8,-0.664122,180
11.04,-0.631734,180
11.28,-0.599346,180
11.52,-0.566958,180
11.76,-0.547992,180
12,-0.529936,180
12.24,-0.511881,180
12.48,-0.493826,180
12.72,-0.47577,180
12.96,-0.458148,180
13.2,-0.440584,180
13.44,-0.423019,180
13.68,-0.405454,180
13.92,-0.387889,180
14.16,-0.371072,180
14.4,-0.364903,180
14.64,-0.358734,180
14.88,-0.352565,180
15.12,-0.346396,180
15.36,-0.340227,180
3.6,-1.67526,198
3.84,-1.68455,198
4.08,-1.65306,198
4.32,-1.58822,198
4.56,-1.47269,198
4.8,-1.32522,198
5.04,-1.12698,198
5.28,-0.947663,198
5.52,-0.858516,198
5.76,-0.87743,198
6,-1.02843,198
6.24,-1.15045,198
6.48,-1.23341,198
6.72,-1.12034,198
6.96,-0.977645,198
7.2,-0.834947,198
7.44,-0.692248,198
7.68,-0.668914,198
7.92,-0.672265,198
8.16,-0.691974,198
8.4,-0.746341,198
8.64,-0.800708,198
8.88,-0.830575,198
9.12,-0.830006,198
9.36,-0.829437,198
9.6,-0.824093,198
9.84,-0.788412,198
10.08,-0.752732,198
10.32,-0.717051,198
10.56,-0.681932,198
10.8,-0.647982,198
11.04,-0.614032,198
11.28,-0.580082,198
11.52,-0.546133,198
11.76,-0.526896,198
12,-0.508658,198
12.24,-0.49042,198
12.48,-0.472183,198
12.72,-0.453945,198
12.96,-0.437863,198
13.2,-0.422064,198
13.44,-0.406266,198
13.68,-0.390468,198
13.92,-0.374669,198
14.16,-0.359569,198
14.4,-0.354404,198
14.64,-0.34924,198
14.88,-0.344076,198
15.12,-0.338911,198
15.36,-0.333747,198
3.6,-1.46164,216
3.84,-1.44758,216
4.08,-1.40504,216
4.32,-1.34534,216
4.56,-1.26336,216
4.8,-1.13862,216
5.04,-0.989614,216
5.28,-0.854804,216
5.52,-0.769313,216
5.76,-0.767861,216
6,-0.789833,216
6.24,-0.747957,216
6.48,-0.641425,216
6.72,-0.54976,216
6.96,-0.460342,216
7.2,-0.522039,216
7.44,-0.585946,216
7.68,-0.663126,216
7.92,-0.743274,216
8.16,-0.80498,216
8.4,-0.827614,216
8.64,-0.850249,216
8.88,-0.855133,216
9.12,-0.837966,216
9.36,-0.820799,216
9.6,-0.801154,216
9.84,-0.765767,216
10.08,-0.73038,216
10.32,-0.694993,216
10.56,-0.661953,216
10.8,-0.633795,216
11.04,-0.605637,216
11.28,-0.577479,216
11.52,-0.549321,216
11.76,-0.531371,216
12,-0.514114,216
12.24,-0.496857,216
12.48,-0.4796,216
12.72,-0.462344,216
12.96,-0.445732,216
13.2,-0.429205,216
13.44,-0.412679,216
13.68,-0.396152,216
13.92,-0.379625,216
14.16,-0.363699,216
14.4,-0.356331,216
14.64,-0.348963,216
14.88,-0.341594,216
15.12,-0.334226,216
15.36,-0.326858,216
3.6,-1.45789,234
3.84,-1.47108,234
4.08,-1.44496,234
4.32,-1.40125,234
4.56,-1.30539,234
